Mapping project name,AI4ESCO
Mapping project author,CRISP
Mapping project version,merged
Mapping project version date,2021-04-23
Classification 1 Name,Italian ESCO
Classification 1 Concept type,occupation
Classification 1 Version,1.0.8
Classification 1 Language,it
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,classificazione delle professioni CP2011
Classification 2 Concept type,occupation
Classification 2 Version,2011
Classification 2 Language,it
Classification 2 Landing page,http://professioni.istat.it/cp2011/
,,,,,,,
,,,,,,,
Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation,Editorial note
http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,ministro/ministra,http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.1.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,deputato/deputata,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.1.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,segretario di Stato/segretaria di Stato,http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.1.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,senatore/senatrice,http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.1.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,presidente di regione,http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.2.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,assessore comunale/assessora comunale,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.3.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,assessore comunale/assessora comunale,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.4.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,sindaco/sindaca,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.4.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,console,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:broadMatch,
http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,diplomatico,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:broadMatch,
